ID,study.area,zone,sector,subsector,total.lithics,area.sqm,assemblage,predicted.period,MP_ubiq,UP_ubiq,EPI_ubiq,MESO_ubiq,ENEOL_ubiq,LNEOL_ubiq,density.km2,MP_int,UP_int,EPI_int,MESO_int,ENEOL_int,LNEOL_int
110,Cocina/Catadau,0,7,4,1,2469.468994,Cocina/Catadau-0-7-4,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,4.0494535563300135e-7,8.785155031610301e-13,2.8112496101152964e-12,1.7570310063220602e-11,2.0080354357966405e-11,2.8112496101152964e-11,5.856770021073534e-11
117,Cocina/Catadau,0,7,4,1,771.7268066,Cocina/Catadau-0-7-4,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,1.2957953403299598e-6,2.8111849650040043e-12,8.995791888012814e-12,5.622369930008009e-11,6.425565634294867e-11,8.995791888012814e-11,1.8741233100026696e-10
121,Cocina/Catadau,0,7,4,63,5676.186035,Cocina/Catadau-0-7-4,ENEOL,0.02905323920265779,0.2691500299442162,0.04020233100233099,0.07354562822798116,0.5467346398699339,0.04131413175288004,1.1099001972721636e-5,4.030774490303155e-10,1.1949186853235774e-8,1.1155143777571996e-8,2.3322373508211856e-8,2.42728353858866e-7,3.8212135818874765e-8
122,Cocina/Catadau,0,7,3,1,4948.595703,Cocina/Catadau-0-7-3,ENEOL,0.22695498641308914,0.20726112829492438,0.03814639466631948,0.09054617991167133,0.29512655729155624,0.1419647534224397,2.0207753068082878e-7,5.732812903757263e-11,1.675312680478431e-10,1.9271323096365447e-10,5.227813842609316e-10,2.385537837432473e-9,2.3906572346099458e-9
124,Cocina/Catadau,0,7,8,1,3786.956787,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,2.6406427541841394e-7,5.728786774784163e-13,1.833211767930932e-12,1.1457573549568326e-11,1.309436977093523e-11,1.8332117679309322e-11,3.819191183189442e-11
125,Cocina/Catadau,0,7,8,1,13936.35327,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,7.175478266273887e-8,1.5566961842697844e-13,4.98142778966331e-13,3.113392368539569e-12,3.5581627069023644e-12,4.98142778966331e-12,1.0377974561798563e-11
128,Cocina/Catadau,0,7,8,1,6806.589844,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,1.4691644757785702e-7,3.187303547777093e-13,1.0199371352886697e-12,6.374607095554186e-12,7.285265252061927e-12,1.0199371352886697e-11,2.1248690318513954e-11
129,Cocina/Catadau,0,7,8,3,3984.789551,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,7.528628454787875e-7,1.6333109450611033e-12,5.2265950241955304e-12,3.266621890122206e-11,3.7332821601396645e-11,5.2265950241955304e-11,1.0888739633740688e-10
130,Cocina/Catadau,0,7,8,9,5139.227295,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,1.7512360289563727e-6,3.799248416437331e-12,1.215759493259946e-11,7.598496832874663e-11,8.683996380428185e-11,1.2157594932599458e-10,2.5328322776248874e-10
132,Cocina/Catadau,0,7,8,1,1456.597412,Cocina/Catadau-0-7-8,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,6.865314957733839e-7,1.4894072843543352e-12,4.7661033099338724e-12,2.97881456870867e-11,3.404359507095623e-11,4.7661033099338726e-11,9.929381895695568e-11
